"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"536","FB87",1,NA,"Female","1977","no"
"537","FB89",0,NA,"Female","1971","no"
"538","FB90",1,NA,"Female","1970","no"
"539","FB92",1,"FB84","Male","1988","yes"
"540","FB93",1,"FB35","Female","1985","no"
"541","FB94",0,NA,"Male","1970","no"
"542","FB96",1,NA,"Male","1958","no"
"543","FB98",1,NA,"Male","1953","no"
"544","FB99",0,NA,"Female","1987","no"
"545","FEAT",0,NA,"Probable Female",NA,"no"
"546","FINS",0,NA,NA,NA,"no"
"547","FIRE",0,"BTLE",NA,NA,"no"
"548","FJSL",0,NA,NA,NA,"no"
"549","FLBB",0,NA,NA,NA,"no"
"550","FLCR",0,NA,NA,NA,"no"
"551","FLDG",0,NA,NA,NA,"no"
"552","FLEA",0,NA,NA,NA,"no"
"553","FLTP",0,NA,"Female",NA,"no"
"554","FNIS",0,NA,NA,NA,"no"
"555","FRGG",0,NA,"Female",NA,"no"
"556","FRGI",0,NA,NA,NA,"no"
"557","FRN2",0,"FRNG",NA,NA,"no"
"558","FRN3",0,"FRNG",NA,NA,"no"
"559","FRNC",0,"FRNG",NA,NA,"no"
"560","FRNG",0,NA,"Female",NA,"no"
"561","FRNZ",0,NA,NA,NA,"no"
"562","FRPT",0,NA,NA,NA,"no"
"563","FTHS",0,NA,NA,NA,"no"
"564","FTLB",0,NA,NA,NA,"no"
"565","FUDD",0,NA,NA,NA,"no"
"566","FZJ1",0,"FZJS",NA,"2008","no"
"567","FZJ2",0,"FZJS",NA,NA,"no"
"568","FZJS",0,NA,"Probable Female",NA,"no"
"569","GLOS",0,NA,NA,NA,"no"
"570","GPHK",0,NA,NA,NA,"no"
"571","GPPY",0,NA,NA,NA,"no"
"572","GRC1",0,NA,NA,NA,"no"
"573","GRC2",0,NA,NA,NA,"no"
"574","GRGO",0,NA,"Male",NA,"no"
"575","GRPS",0,NA,NA,NA,"no"
"576","GRW1",0,"GRWW",NA,NA,"no"
"577","GRW2",0,"GRWW",NA,"2007","no"
"578","GRW3",0,"GRWW",NA,NA,"no"
"579","GRWW",0,NA,"Female",NA,"no"
"580","GSKN",0,NA,NA,NA,"no"
"581","GTFG",0,NA,NA,NA,"no"
"582","GWEN",0,NA,"Probable Female",NA,"no"
"583","GWNC",0,"GWEN",NA,NA,"no"
"584","HAAK",1,NA,NA,NA,"no"
"585","HAIR",0,NA,"Female",NA,"no"
"586","HAMM",0,NA,"Female",NA,"no"
"587","HAN2",0,NA,NA,"<2002","no"
"588","HANC",0,"HANG",NA,NA,"no"
"589","HANG",0,NA,"Probable Female",NA,"no"
"590","HAWC",0,"F237",NA,"1999","no"
"591","HBM1",0,NA,NA,"2001","no"
"592","HBM2",0,"HBMB","Male","2004?","no"
"593","HBM3",0,"HBMB",NA,"2009","no"
"594","HBM4",0,"HBMB",NA,NA,"no"
"595","HBMB",0,NA,"Probable Female",NA,"no"
"596","HBUT",0,NA,NA,NA,"no"
